company_id,company
1,Sun Taxi
2,Globe Taxi
3,5 Star Taxi
4,Blue Ribbon Taxi Association
5,Medallion Leasin
6,Taxicab Insurance Agency Llc
7,Flash Cab
8,Taxi Affiliation Services
9,Chicago Independents
10,City Service
11,"Taxicab Insurance Agency, LLC"
12,Setare Inc
13,Top Cab
14,Choice Taxi Association Inc
15,Wolley Taxi
16,Tac - Checker Cab Dispatch
17,Choice Taxi Association
18,Patriot Taxi Dba Peace Taxi Associat
19,Tac - Yellow Cab Association
20,Tac - Blue Diamond Dispatch
21,Chicago City Taxi Association
22,Chicago Taxicab
23,4053 - 40193 Adwar H. Nikola
24,Tac - American United Dispatch
25,Tac - Yellow Non Color
26,Star North Taxi Management Llc
27,312 Medallion Management Corp
28,6574 - Babylon Express Inc.
29,2733 - 74600 Benny Jona
30,Koam Taxi Association
31,U Taxicab
32,3556 - 36214 RC Andrews Cab
33,Metro Jet Taxi A.
34,Petani Cab Corp
